Source,Target,Weight
1,2,3
2,116,1
2,184,1
2,188,1
3,4,1
3,8,2
3,69,1
3,100,1
3,199,2
3,204,5
3,205,1
4,9,2
4,38,1
4,49,1
4,51,1
4,56,1
4,75,1
4,76,1
4,80,1
4,90,1
4,102,1
4,107,1
4,116,1
4,117,1
4,118,1
4,128,2
4,145,2
4,189,1
4,190,1
4,192,1
5,6,3
6,10,3
7,16,1
8,3,2
8,15,3
9,4,1
9,5,1
9,102,2
9,128,2
9,187,1
9,199,1
10,6,2
10,11,1
10,12,1
10,13,1
12,51,1
12,125,2
14,4,1
15,8,4
15,22,1
15,23,1
15,24,1
18,17,1
18,19,1
18,58,1
18,62,1
18,197,1
19,5,1
19,7,1
19,18,2
19,26,1
19,27,1
19,39,3
19,41,1
19,45,1
19,58,1
19,62,1
19,94,1
19,111,1
19,112,2
19,119,1
19,144,1
19,155,1
19,160,1
19,194,1
19,195,2
19,196,1
20,34,1
20,48,1
20,49,1
21,58,1
23,22,1
25,26,2
25,27,1
25,70,1
25,71,1
25,124,3
25,137,1
25,138,1
25,139,1
25,140,1
25,141,2
27,39,2
27,40,1
28,29,1
28,30,1
28,31,1
28,32,1
28,33,1
28,34,1
28,35,1
28,36,1
28,37,1
28,38,1
29,28,2
33,28,1
35,28,1
38,12,1
38,28,1
38,48,1
39,66,1
39,114,1
40,27,2
42,17,1
42,28,1
42,29,1
42,35,1
42,38,1
43,26,1
43,27,1
43,44,1
43,45,1
43,46,1
46,113,1
47,28,2
47,31,1
49,4,1
49,82,1
49,123,1
49,199,1
50,12,2
50,38,2
50,42,2
50,49,1
50,51,2
50,52,1
50,53,1
50,79,1
50,82,1
51,31,1
51,53,2
51,118,1
51,142,1
51,143,1
51,144,1
51,145,1
52,50,2
53,183,2
54,5,1
54,56,1
54,72,1
54,143,1
54,160,1
54,195,1
54,200,1
54,209,1
54,212,1
56,39,4
56,51,1
56,54,1
56,56,1
56,60,4
56,141,1
57,58,1
58,55,1
58,56,1
58,60,1
58,62,3
58,64,1
58,66,2
59,58,1
60,55,1
62,92,1
62,94,3
62,185,1
63,50,2
63,51,1
63,82,1
67,68,1
68,70,1
68,71,1
69,3,2
69,23,1
69,38,1
69,48,1
69,49,2
69,80,1
69,91,1
69,100,1
69,123,9
69,128,1
69,129,1
69,189,2
69,190,1
70,5,1
70,51,1
70,92,1
70,124,2
70,138,2
70,141,1
70,148,1
72,16,1
72,18,2
72,39,5
72,51,3
72,54,2
72,67,3
72,73,1
72,74,2
72,92,1
72,141,3
72,143,2
72,197,1
72,209,1
74,62,2
74,67,1
74,72,1
74,94,1
74,185,1
75,48,1
75,76,1
76,4,1
77,78,2
77,79,3
77,80,1
77,81,1
79,77,2
80,190,1
82,12,1
82,49,1
82,63,1
82,89,1
84,58,1
84,59,1
84,85,1
84,86,1
84,87,1
84,88,1
90,91,1
90,136,1
91,12,1
91,29,1
91,90,1
91,96,1
91,97,1
91,98,2
91,104,1
91,105,1
91,106,1
91,107,1
91,108,1
91,109,1
91,110,1
92,2,3
92,41,2
92,45,1
92,62,3
92,68,3
92,70,1
92,72,2
92,88,1
92,93,2
92,94,2
92,95,2
92,116,1
92,151,1
92,162,1
92,182,1
92,185,2
92,186,1
93,62,1
94,116,1
94,162,2
96,91,1
97,91,1
97,96,1
97,98,1
99,3,1
99,20,2
99,42,1
99,69,1
99,75,1
99,77,1
99,80,1
99,96,1
99,100,1
99,101,1
99,102,1
99,103,1
99,104,1
99,199,1
99,204,1
101,99,1
102,125,1
104,204,1
107,4,1
111,46,1
113,26,1
113,39,1
113,46,1
113,72,1
113,83,1
113,85,1
113,111,1
113,114,1
113,119,1
116,2,3
116,62,1
116,68,1
116,184,1
117,199,1
117,204,3
120,121,1
120,122,1
121,12,1
121,34,1
121,36,1
121,69,1
121,76,1
121,77,1
121,78,1
121,79,1
121,102,1
121,108,1
121,120,1
121,122,1
121,125,2
121,132,1
121,149,1
121,156,1
121,165,1
121,166,1
121,167,1
121,168,1
121,169,1
121,170,1
121,171,1
121,172,1
121,173,1
122,125,1
123,49,1
123,69,4
123,123,1
124,3,1
124,25,2
124,51,2
124,53,1
124,126,5
124,131,1
124,133,1
124,135,1
126,124,1
127,121,1
129,37,1
129,38,1
129,125,1
129,128,1
138,137,1
139,25,1
141,51,1
141,56,1
141,67,1
141,68,1
141,70,1
141,72,1
141,85,1
141,88,1
141,113,1
141,146,1
141,148,3
141,150,1
141,151,1
141,152,1
141,153,2
141,154,1
141,155,2
141,157,1
141,158,1
141,159,1
141,160,1
141,161,1
141,162,1
141,163,1
141,164,1
143,16,1
143,144,2
143,200,1
143,201,1
143,202,1
146,141,1
146,147,1
149,122,3
149,125,1
149,127,1
149,136,1
149,176,1
154,51,1
154,141,1
165,14,1
165,121,2
165,170,5
170,165,1
173,38,1
173,128,1
174,51,1
174,141,1
175,51,1
175,141,1
179,4,1
180,45,1
180,54,1
180,94,1
180,181,1
183,191,1
185,94,1
187,4,1
192,4,1
192,32,1
192,35,1
192,53,1
192,170,1
192,175,1
192,193,1
197,18,2
197,19,2
197,54,1
197,58,1
197,72,1
197,112,1
197,137,2
197,186,1
197,188,1
198,199,1
199,198,1
199,204,3
199,206,1
199,207,1
199,208,1
199,210,1
200,54,1
203,199,1
203,204,1
204,9,1
204,20,1
204,49,1
204,104,1
204,117,2
204,199,5
204,203,1
204,205,1
204,206,1
204,210,2
204,211,1
204,213,1
204,214,1
204,215,1
204,216,1
204,217,1
205,204,1
209,7,1
209,16,2
209,45,1
209,54,1
209,67,1
209,143,1
209,160,1
209,202,1
209,212,1
209,218,1
209,219,1
211,199,1
213,204,1
214,204,1
